<<<<<<< HEAD
"SPY.Open","SPY.High","SPY.Low","SPY.Close","SPY.Volume","SPY.Adjusted"
126.71,127.6,125.7,127.05,138725200,117.69
127.33,127.37,126.19,126.98,137409700,117.62
126.58,127.72,126.46,127.64,133975300,118.24
127.69,127.83,127.01,127.39,122519000,118
127.56,127.77,126.15,127.14,156034600,117.77
126.58,127.16,126.2,126.98,122401700,117.62
127.44,127.74,126.95,127.43,110287000,118.04
128.21,128.72,127.46,128.58,107929200,119.11
128.63,128.69,128.05,128.37,129048400,118.91
128.19,129.33,128.1,129.3,117677900,119.77
129.18,129.64,129.03,129.52,114401300,119.98
129.41,129.54,127.91,128.25,151958400,118.8
127.96,128.4,127.13,128.08,175745700,118.64
128.88,129.17,128.23,128.37,151462900,118.91
128.29,129.25,128.26,129.1,113715500,119.59
128.76,129.28,128.11,129.17,167552200,119.65
129.49,130.05,129.23,129.67,141281500,120.12
129.7,130.21,129.47,129.99,123302700,120.41
130.14,130.35,127.51,127.72,295637300,118.31
128.07,128.78,127.75,128.68,149249200,119.2
129.46,130.97,129.38,130.74,167194300,121.11
130.4,130.84,130.33,130.49,118323600,120.88
130.26,130.98,129.57,130.78,145886700,121.14
130.83,131.2,130.23,131.15,134634800,121.49
131.44,132.4,131.43,131.97,112439100,122.25
132.09,132.64,131.73,132.57,99072800,122.8
132.21,132.63,131.61,132.27,146436700,122.52
131.6,132.47,131.3,132.32,162708500,122.57
131.8,133.28,131.77,133.11,137710300,123.3
133.03,133.54,132.88,133.43,101690700,123.6
133.02,133.22,132.32,133.01,119575400,123.21
133.46,134.01,133.19,133.85,130183500,123.99
133.46,134.43,133.34,134.25,109810500,124.36
134.37,134.69,134.06,134.53,130002400,124.62
133.12,134.56,131.47,131.83,233116400,122.12
131.75,132.07,130.21,131.02,227584000,121.37
130.88,131.44,129.7,130.93,260431400,121.28
131.48,132.41,131.4,132.33,141686900,122.58
132.82,133.32,132.38,133.15,141585500,123.34
133.57,133.69,130.89,130.93,258565500,121.28
130.75,131.82,130.35,131.21,200277400,121.54
132.4,133.62,132.39,133.47,176480100,123.64
133.37,133.63,131.6,132.47,277202300,122.71
132.86,133.16,130.74,131.43,216790400,121.75
131.64,133,131.07,132.58,174615000,122.81
132.32,132.8,131.6,132.39,153806000,122.64
131,131.18,129.81,129.94,301291800,120.37
129.52,131.31,129.49,130.84,225621800,121.2
129.99,130.48,129.06,130.05,234974100,120.47
126.59,129.33,126.5,128.56,359585400,119.09
128.15,128.57,125.28,126.18,468670300,116.88
128,128.39,127.1,127.85,254303700,118.43
128.84,128.88,127.51,127.76,230435400,118.86
129.35,130.01,129.2,129.74,153992600,120.7
129.72,129.89,129.17,129.29,129538600,120.28
128.93,130,128.32,129.66,148603100,120.63
130.4,131.09,129.67,130.9,159129800,121.78
131.24,131.87,130.89,131.3,155642800,122.15
131.58,131.92,130.94,130.98,109762400,121.86
130.87,131.9,130.44,131.86,129798800,122.68
132.55,133.16,132.36,132.77,135835000,123.52
132.6,132.96,132.45,132.59,132537100,123.35
133.41,133.77,132.83,133.15,153850100,123.88
133.43,133.67,132.88,133.26,100768900,123.98
133,133.83,132.94,133.24,120791500,123.96
133.88,134,133.12,133.66,120411600,124.35
133.42,133.98,132.66,133.32,170731500,124.03
133.91,133.99,132.31,132.86,147945400,123.61
133,133.45,132.14,132.46,121385400,123.23
131.72,131.98,130.99,131.47,161187400,122.31
132.08,132.18,130.96,131.46,162059000,122.3
130.7,131.76,130.27,131.56,161220400,122.4
131.8,132.37,131.41,132.04,170006700,122.84
130.59,132.03,129.51,130.56,210759300,121.47
130.76,131.35,130.44,131.31,124258800,122.16
132.88,133.39,132.79,133.1,156133800,123.83
133.79,133.84,133.1,133.78,135935400,124.46
133.68,133.86,133.2,133.64,65757100,124.33
134.05,135.06,133.91,134.79,146600000,125.4
135.05,135.87,134.5,135.67,143031000,126.22
135.43,136.29,135.41,136.11,124791100,126.63
136.16,136.57,135.98,136.43,115094100,126.93
137.07,137.18,135.95,136.22,126278700,126.73
135.96,136.19,135.04,135.73,138375000,126.28
135.67,135.73,134.23,134.83,182678500,125.44
134.08,134.95,133.02,133.61,226900000,124.3
134.94,135.63,133.68,134.2,222787200,124.85
134.19,135.11,133.98,134.72,114104500,125.34
135.17,136.11,135,135.87,114806900,126.41
135.67,135.69,133.82,134.44,193564200,125.08
134.08,135.36,133.39,135.08,171550700,125.67
135.15,135.34,133.56,134.04,157444900,124.7
133.56,134.61,132.97,133.19,141675400,123.91
132.69,133.35,132.12,133.17,192686200,123.89
133.24,134.5,132.95,134.36,135217900,125
134.8,135.03,133.94,134.68,119489500,125.3
134.33,134.68,133.36,133.61,182594900,124.3
131.98,132.72,131.59,132.06,168700000,122.86
132.44,132.73,131.7,131.95,147199600,122.76
131.42,132.94,131.38,132.39,151050100,123.17
132.03,133.24,131.78,133,164850000,123.74
133.37,133.87,132.96,133.51,120921900,124.21
134.77,134.92,133.84,134.9,164731200,125.5
134.51,134.92,131.76,131.87,233094300,122.68
131.96,132.24,130.96,131.73,200466800,122.55
130.15,131.42,130.08,130.42,234690200,121.34
130.09,130.36,128.87,129.04,179951200,120.05
129.7,130.07,128.85,128.96,161660500,119.98
128.76,129.19,128.18,128.42,198696400,119.47
128.77,129.93,128.46,129.4,160964400,120.39
128.85,128.93,127.26,127.6,238629400,118.71
127.89,128.24,127.05,127.7,207599800,118.81
128.87,129.77,128.82,129.32,160570400,120.31
128.24,129.3,126.68,127.02,300958000,118.17
127.06,127.97,126.32,127.3,308032800,118.43
127.93,127.94,126.62,127.05,233284900,118.79
126.62,127.97,126.58,127.7,159479000,119.39
128.36,129.7,127.75,129.45,193157300,121.03
129.05,129.81,128.59,128.67,176703000,120.3
127.16,128.64,126.19,128.3,334286500,119.96
128.27,128.37,126.62,126.81,226129300,118.56
126.89,128.43,126.64,127.94,168904700,119.62
128.45,129.63,128.27,129.61,165556300,121.18
130.2,130.93,129.63,130.72,244295500,122.22
131.14,132.18,130.71,131.97,223322700,123.39
132.09,134.1,131.78,133.92,202385700,125.21
133.78,134.08,133.39,133.81,165936000,125.11
133.49,134.14,133.11,133.97,143331600,125.26
135.16,135.7,134.88,135.36,170464200,126.56
133.83,135.36,133.39,134.4,194100500,125.66
132.75,133.18,131.66,131.97,195918600,123.39
131.69,132.78,131.36,131.4,214675700,122.85
132.09,133.22,131.52,131.84,204062600,123.26
132.17,132.78,130.68,130.93,226111800,122.41
131.66,131.87,130.77,131.69,220012800,123.12
131.08,131.28,129.63,130.61,196872100,122.11
131.34,132.89,131.31,132.73,166554900,124.1
133.07,133.15,132.42,132.65,137145400,124.02
133.4,134.82,132.67,134.49,245246300,125.74
134.52,134.72,133.76,134.58,126019400,125.83
133.3,134.49,133.16,133.83,136653800,125.13
133.74,133.96,133.03,133.33,131278200,124.66
132.59,132.63,130.43,130.6,249020100,122.11
130.6,131.77,130.01,130.22,207939900,121.75
128.91,130.55,127.97,129.33,307038400,120.92
130.84,130.96,127.53,128.78,325790900,120.4
127.81,128.5,125.49,125.49,346653800,117.33
125.66,126.31,123.53,126.17,370830800,117.96
124.42,124.62,120.06,120.26,520721800,112.44
121.76,122.07,116.86,120.08,655619200,112.27
116.91,120.12,112.02,112.26,702263900,104.96
114.07,117.64,110.27,117.48,717828700,109.84
115.26,116.28,111.95,112.29,662607400,104.99
113.26,118.92,112.32,117.33,487979700,109.7
118.4,119.21,117.28,118.12,313731600,110.44
119.19,120.74,119,120.62,258810600,112.77
119.47,120.69,118.31,119.59,294095200,111.81
120.25,121.2,118.72,119.67,238201100,111.89
116.5,119.71,113.39,114.51,512956300,107.06
112.96,115.88,112.5,112.64,428281300,105.31
115.17,115.23,112.41,112.73,275090600,105.4
113.15,116.57,112.58,116.44,331136600,108.87
116.19,118.24,115.92,118.08,246869700,110.4
118.73,119.4,115.87,116.28,312365400,108.72
115.69,118.51,113.85,117.97,314495900,110.3
119.56,121.43,118.06,121.36,190977200,113.47
120.83,122.43,119.26,121.68,241315700,113.77
122.46,123.51,121.3,122.22,301828400,114.27
122.29,123.4,120.78,120.94,254585900,113.07
118.42,120.87,117.43,117.85,255517200,110.18
114.39,117.16,114.38,116.99,285130500,109.38
118.76,120.34,118.36,120.29,209803200,112.47
119.57,120.94,118.77,119.04,250568200,111.3
117.68,119.06,115.28,115.92,380195100,108.38
114.47,116.76,114.05,116.67,305793500,109.08
117.05,118.18,116.22,117.74,272514700,110.08
118.34,120.8,116.72,119.37,319389500,111.61
120.65,121.47,119.4,121.43,326777200,113.53
121.29,121.97,120.32,121.52,284528300,114.2
119.53,120.93,118.72,120.31,241517000,113.07
120.82,121.99,120.01,120.17,218932200,112.94
120.23,120.6,116.44,116.63,316251300,109.61
113.25,114.21,111.3,112.86,513911300,106.07
112.11,114.16,112.02,113.54,307242500,106.7
114.61,116.4,112.98,116.24,260673700,109.24
118.53,119.56,116.84,117.54,311753900,110.46
117.78,118.49,114.97,115.14,286696800,108.21
117.05,117.63,113.93,116.05,298108900,109.06
114.45,115.45,113.07,113.15,288392300,106.34
112.49,113.95,109.81,109.93,365136800,103.31
108.35,112.58,107.43,112.34,459177500,105.58
112.62,114.72,111.58,114.42,284108000,107.53
114.36,116.66,113.51,116.49,257800800,109.48
117.17,117.25,115.06,115.71,312657900,108.74
117.68,119.63,117.67,119.58,230666300,112.38
118.87,120.04,118.75,119.7,209088000,112.49
120.6,122.14,120.33,120.75,281544900,113.48
120.04,120.87,119.12,120.51,212538800,113.25
121.91,122.6,121.23,122.57,211397600,115.19
121.99,122.55,119.93,120.23,202311600,112.99
120.14,123.5,119.2,122.58,318857900,115.2
122.38,123.08,120.71,121.13,226601300,113.84
121.43,122.1,119.82,121.66,262075600,114.34
123.09,124.12,122.72,123.97,278999400,116.51
124.17,125.8,124.06,125.49,203215600,117.93
124.89,124.95,122.78,123.05,268596800,115.64
124.35,124.77,122.21,124.3,289053800,116.82
127.63,129.42,126.61,128.63,393220200,120.89
128,128.85,127.8,128.6,225906500,120.86
127.16,128.62,125.32,125.5,228146700,117.94
122.03,123.51,121.52,122,416565800,114.65
123.83,124.4,122.79,123.99,244717600,116.53
125.27,126.5,123.6,126.25,291174800,118.65
