#RIC,Date[L],Time[L],Type,Open,High,Low,Last,Volume
VMC.N,20110103,,End Of Day (from Real-Time),44.91,45.18,44.36,44.46,403044
VMC.N,20110104,,End Of Day (from Real-Time),43.52,43.52,41.79,42.14,579533
VMC.N,20110105,,End Of Day (from Real-Time),41.72,41.99,40.52,41.26,600210
VMC.N,20110106,,End Of Day (from Real-Time),41.23,41.34,40.3,40.49,390640
VMC.N,20110107,,End Of Day (from Real-Time),40.5,40.96,39.95,40.5,342422
VMC.N,20110110,,End Of Day (from Real-Time),40.27,40.85,39.77,40.37,369343
VMC.N,20110111,,End Of Day (from Real-Time),40.6,40.97,40.28,40.5,311325
VMC.N,20110112,,End Of Day (from Real-Time),40.82,41.73,40.55,40.71,371780
VMC.N,20110113,,End Of Day (from Real-Time),40.8,41.24,40.37,40.51,328303
VMC.N,20110114,,End Of Day (from Real-Time),40.38,41.08,40.06,41.06,258242
VMC.N,20110118,,End Of Day (from Real-Time),41.07,41.25,40.38,40.6,198952
VMC.N,20110119,,End Of Day (from Real-Time),40.76,40.92,40.19,40.37,283921
VMC.N,20110120,,End Of Day (from Real-Time),40.27,41.08,40.07,40.65,251565
VMC.N,20110121,,End Of Day (from Real-Time),40.97,41.21,40.3,40.51,311500
VMC.N,20110124,,End Of Day (from Real-Time),40.5,42.7,40.44,42.02,386980
VMC.N,20110125,,End Of Day (from Real-Time),41.94,42.41,41.6,42.23,359853
VMC.N,20110126,,End Of Day (from Real-Time),42.34,43.14,41.86,43.04,362812
VMC.N,20110127,,End Of Day (from Real-Time),43.09,43.24,42.57,43.16,263792
VMC.N,20110128,,End Of Day (from Real-Time),43.25,43.5,41.47,41.72,437091
VMC.N,20110131,,End Of Day (from Real-Time),41.95,42.75,41.54,42.56,282006
VMC.N,20110201,,End Of Day (from Real-Time),42.91,43.82,42.82,43.12,405489
VMC.N,20110202,,End Of Day (from Real-Time),43.03,43.3,42.49,42.85,299933
VMC.N,20110203,,End Of Day (from Real-Time),41.25,45.08,39.95,43.37,1163146
VMC.N,20110204,,End Of Day (from Real-Time),43.43,43.83,42.43,42.95,336696
VMC.N,20110207,,End Of Day (from Real-Time),43.01,44.64,43.01,44.61,383260
VMC.N,20110208,,End Of Day (from Real-Time),44.85,45.75,44.37,44.76,349273
VMC.N,20110209,,End Of Day (from Real-Time),44.52,44.66,43.9,44.08,219341
VMC.N,20110210,,End Of Day (from Real-Time),43.87,44.56,43.81,44.1,217977
VMC.N,20110211,,End Of Day (from Real-Time),43.85,44.55,43.64,44.47,239467
VMC.N,20110214,,End Of Day (from Real-Time),44.49,44.67,44.21,44.46,183805
VMC.N,20110215,,End Of Day (from Real-Time),44.3,44.59,43.74,43.76,226237
VMC.N,20110216,,End Of Day (from Real-Time),43.93,45.46,43.93,45.42,189342
VMC.N,20110217,,End Of Day (from Real-Time),45.26,47.17,45.11,46.98,412864
VMC.N,20110218,,End Of Day (from Real-Time),47.16,47.16,46.42,46.73,369106
VMC.N,20110222,,End Of Day (from Real-Time),45.93,46.05,43.98,44.21,389313
VMC.N,20110223,,End Of Day (from Real-Time),44.04,44.18,42.42,43.41,292510
VMC.N,20110224,,End Of Day (from Real-Time),43.37,44.25,42.75,43.3,238982
VMC.N,20110225,,End Of Day (from Real-Time),43.67,45.03,43.46,44.97,214375
